1000511	667	4
1000511	749	4
1000511	674	4
1000511	744	5
1000511	12	4
1000511	33	7
1000511	1	4
1000511	25	4
1000512	1	4
1000512	726	4
1000512	662	6
1000512	737	4
1000512	747	5
1000512	37	4
1000512	12	4
1000512	671	4
1000512	682	4
1000512	746	4
1000512	680	8
1000512	663	4
1000512	672	4
1000512	704	4
1000512	19	4
1000512	719	4
1000512	21	4
1000512	678	4
1000512	668	4
1000512	733	4
1000512	33	60
1000512	35	1
1000512	744	12
1000512	666	4
1000963	1	4
1001309	33	2
1001309	1	4
1001309	680	4
1002443	663	4
1002443	666	4
1002443	717	4
1002443	17	4
1002443	744	4
1002443	662	4
1002443	704	4
1002443	719	4
1002443	12	4
1002443	10	4
1002443	1	4
1002443	737	4
1002443	726	4
1002443	746	4
1002443	668	4
1002443	36	4
1002443	619	4
1002443	37	4
1002443	680	8
1002443	20	8
1002443	25	4
1002654	737	4
1002654	1	4
1002654	720	4
1002654	35	4
1002654	33	3
1003960	722	2
1003960	678	1
1003960	35	2
1003960	635	1
1003960	36	1
1003960	21	1
1003960	20	2
1003960	37	2
1003960	647	2
1003960	748	1
1003960	714	2
1003960	16	1
1003960	24	2
1003960	740	1
1003960	682	5
1003960	723	2
1003960	713	1
1003960	25	1
1003960	17	1
1003960	665	1
1003960	12	1
1003960	733	2
1003960	716	1
1003960	607	1
1003960	738	1
1003960	14	1
1003960	728	1
1003960	737	1
1003960	747	1
1003960	10	1
1003960	1	1
1003960	720	2
1003960	718	2
1003960	677	2
1003960	726	1
1003960	719	1
1003960	662	1
1003960	13	1
1003960	684	3
1003960	9	2
1003960	666	1
1003960	19	1
1003960	672	1
1010310	21	4
1010310	726	4
1010310	12	4
1010310	33	36
1010310	610	4
1010310	1	4
1010310	738	4
1010310	662	4
1010311	725	4
1010311	680	8
1010311	662	4
1010311	668	4
1010311	33	7
1010311	12	8
1010311	21	4
1010311	749	4
1010311	746	4
1010311	717	4
1010311	663	4
1010311	1	4
1010827	1	4
1010827	665	4
1010827	37	4
1010827	738	4
1010827	668	4
1010827	728	4
1010827	717	4
1017265	1	1
1025439	1	2
1025439	669	1
1025439	680	6
1025439	668	4
1025439	33	9
1026842	14	8
1026842	716	8
1026842	635	4
1026842	16	4
1026842	678	4
1026842	738	4
1026842	748	4
1026842	13	4
1026842	33	81
1026842	35	4
1026842	20	4
1026842	36	4
1026842	12	4
1026842	722	4
1026842	662	24
1026842	667	4
1026842	714	4
1026842	669	18
1026842	37	4
1026842	619	12
1026842	24	4
1026842	728	4
1026842	726	20
1026842	744	4
1026842	719	4
1026842	19	8
1026842	21	4
1026842	663	8
1026842	749	81
1026842	723	4
1026842	25	4
1026842	10	4
1026842	1	2
1026859	726	40
1026859	749	28
1026859	20	4
1026859	16	4
1026859	12	4
1026859	722	4
1026859	698	8
1026859	748	4
1026859	19	4
1026859	667	4
1026859	663	4
1026859	1	4
1026859	744	4
1026859	669	48
1026859	714	4
1026859	680	4
1026859	25	4
1026859	662	18
1026859	619	8
1026859	716	4
1026859	13	4
1026859	33	55
1026859	738	4
1026859	17	4
1026886	667	4
1026886	738	4
1026886	12	8
1026886	749	81
1026886	748	4
1026886	662	5
1026886	17	4
1026886	13	4
1026886	16	4
1026886	716	4
1026886	746	3
1026886	10	4
1026886	1	4
1026886	619	2
1026886	19	4
1026886	20	4
1026886	37	4
1026886	33	53
1026886	663	4
1026886	669	7
1026886	719	4
1026886	744	4
1026886	726	16
1034193	9	4
1034193	14	12
1034193	17	8
1034193	738	4
1034193	678	8
1034193	1	8
1034193	10	4
1034193	662	16
1034193	749	81
1034193	718	4
1034193	19	4
1034193	740	4
1034193	12	12
1034193	21	4
1034193	25	8
1034193	635	4
1034193	16	8
1034193	728	4
1034193	33	81
1034193	20	4
1034193	35	4
1034193	37	4
1034193	36	4
1034193	714	8
1034193	723	4
1034193	747	4
1034193	748	4
1034193	13	4
1034193	737	4
1034193	744	4
1034193	671	4
1034193	667	4
1034193	24	4
1034193	716	4
1034193	720	4
